Date,Open,High,Low,Close,Volume
2026-06-15,7108.0,7327.0,7010.0,7139.0,71003100
2026-06-16,7150.0,7188.0,6854.0,7102.0,61595400
2026-06-17,6920.0,6948.0,6730.0,6880.0,48833800
2026-06-18,7128.0,7294.0,7051.0,7189.0,64308700
2026-06-19,7339.0,7562.0,7087.0,7111.0,79507100
2026-06-22,7300.0,7394.0,7104.0,7244.0,44993100
2026-06-23,6944.0,6977.0,6500.0,6513.0,52827500
2026-06-24,6521.0,6723.0,6356.0,6597.0,45870800
2026-06-25,6797.0,7188.0,6401.0,7118.0,83407000
2026-06-26,6412.0,6489.0,6114.0,6226.0,71837400
2026-06-29,6320.0,6322.0,5828.0,5894.0,61184900
2026-06-30,5968.0,6047.0,5711.0,5963.0,59812900
2026-07-01,6089.0,6239.0,5975.0,6000.0,40040700
2026-07-02,5757.0,6266.0,5741.0,6195.0,73627900
2026-07-03,6000.0,6169.0,5831.0,6169.0,52377700
2026-07-06,6130.0,6147.0,5866.0,5979.0,33669700
2026-07-07,5962.0,6113.0,5691.0,5771.0,45979200
2026-07-08,5571.0,5916.0,5567.0,5763.0,41852300
2026-07-09,5796.0,5958.0,5724.0,5757.0,41571500
2026-07-10,6021.0,6556.0,6004.0,6370.0,72262000
2026-07-13,6370.0,6542.0,6231.0,6364.0,47113500
2026-07-14,6181.0,6574.0,6018.0,6574.0,62130200
2026-07-15,,,,,47455200
